time,X_value,Y_value,Z_value
13.688,-3.43997,9.38648,110.65527
13.820,-3.23948,9.35013,109.12370
13.867,-3.13753,9.25480,108.27480
13.987,-2.91742,9.28165,106.72205
14.108,-2.93229,9.33185,105.41435
14.199,-2.85847,9.31793,104.55664
14.332,-2.86851,9.38634,103.39989
14.412,-2.80645,9.49050,102.17467
14.468,-2.76023,9.56529,101.36485
14.596,-2.57021,9.66013,99.77428
14.725,-2.38016,9.46822,97.74854
14.769,-2.31272,9.32628,96.56699
14.888,-2.21498,9.02929,93.99819
15.008,-2.15030,8.74729,91.18035
15.111,-2.13926,8.58856,89.83612
15.195,-1.76318,8.36213,87.47594
15.309,-1.32395,8.27822,85.63969
15.378,-1.15562,8.24307,84.75569
15.517,-0.84911,8.18255,82.83831
15.625,-0.62419,8.34042,80.57361
15.669,-0.54345,8.37643,79.41148
15.789,-0.32825,8.21343,76.92696
15.919,0.27947,7.97935,74.67208
15.977,0.50519,7.85430,73.62521
16.090,0.63570,7.79208,71.59225
16.209,0.65929,7.60842,68.85107
16.297,0.82909,7.54066,67.88034
16.405,1.22396,7.49836,65.57364
16.546,1.27364,7.54428,63.70367
16.569,1.18677,7.63312,62.66655
16.690,1.15059,7.69263,60.30677
16.819,1.52782,7.62234,58.12412
16.870,1.78754,7.67605,56.89503
16.990,2.51287,7.50206,55.56117
17.111,2.95360,7.21244,53.68298
17.186,2.91887,7.06737,52.69572
17.324,2.86125,6.77235,50.51928
17.412,2.77612,6.46896,48.37618
17.471,2.79576,6.32938,47.72064
17.591,2.99721,5.82988,45.90595
17.714,3.18129,5.48747,44.29259
17.772,3.32879,5.38488,43.41902
17.891,3.57836,5.42416,41.63930
18.011,3.53775,5.58059,39.51058
18.105,3.44206,5.55374,38.82470
18.192,3.38040,5.36880,37.40422
18.319,3.42222,5.14810,36.03300
18.373,3.33393,5.02674,35.29034
18.496,3.20558,4.83138,33.85667
18.626,3.27178,4.45265,32.60196
18.672,3.33564,4.20761,32.10110
18.792,3.55951,3.84885,30.82146
18.912,3.39205,3.66009,29.27004
18.973,3.28509,3.49324,28.48600
19.094,2.98985,3.00616,26.87962
19.213,3.04910,2.75401,25.51933
19.273,3.04468,2.71398,24.91007
19.405,3.27795,2.69225,23.47830
19.528,3.38887,2.53566,21.86765
19.573,3.31629,2.39208,21.00879
19.692,3.04875,2.26225,19.27546
19.814,2.85112,1.95319,17.93439
19.877,2.78109,1.79118,17.27847
20.005,3.03296,1.45953,15.94479
20.113,3.31197,1.17788,14.61010
20.174,3.27203,1.02146,13.90441
20.316,3.08862,0.75546,12.43182
20.459,2.79023,0.55096,11.00170
20.473,2.69083,0.41305,10.30652
20.594,2.36803,0.29882,8.92399
20.716,2.15702,-0.03546,7.75928
20.774,2.03322,-0.12277,7.20321
20.893,1.79786,-0.33993,6.13873
21.015,1.74853,-0.63752,5.19338
21.091,1.74861,-0.67344,4.81681
21.217,1.51785,-0.80718,4.00777
21.254,1.30879,-0.94640,3.52626
21.374,0.88621,-1.18177,2.60072
21.497,0.33823,-1.41011,1.65940
21.554,0.10272,-1.47725,1.27807
21.675,-0.31019,-1.63090,0.81348
21.794,-0.68965,-1.79736,0.35104
21.876,-0.83756,-1.87027,0.26368
22.042,-0.96113,-2.03423,0.20940
22.095,-0.96178,-2.01468,0.02949
22.155,-0.91800,-2.08169,-0.07264
22.282,-1.14782,-2.22018,-0.19130
22.395,-1.50266,-2.20945,-0.29372
22.456,-1.49674,-2.18552,-0.29255
22.575,-1.61478,-2.15641,-0.54354
22.695,-1.64274,-2.14973,-0.65123
22.793,-1.74662,-2.12536,-0.86362
22.876,-1.82034,-2.11674,-1.03671
22.999,-2.18702,-2.38547,-1.34292
23.065,-2.25292,-2.50516,-1.48083
23.177,-2.36630,-2.69767,-1.56627
23.309,-2.45929,-2.74018,-1.59799
23.356,-2.50979,-2.81243,-1.61224
23.476,-2.78321,-3.00080,-1.68611
23.596,-3.16255,-3.08305,-1.50980
23.657,-3.33207,-3.09024,-1.49810
23.784,-3.75251,-3.16245,-1.58646
23.900,-4.03564,-3.10294,-1.65547
23.979,-4.16833,-2.94481,-1.68911
24.078,-4.44718,-2.47171,-1.76658
24.219,-4.69101,-2.00199,-1.80689
24.257,-4.81314,-1.84941,-1.83336
24.377,-4.95371,-1.68875,-1.85297
24.497,-4.96978,-1.46261,-1.84517
24.564,-5.07338,-1.23759,-1.87252
24.677,-5.22643,-0.95945,-1.91393
24.798,-5.36166,-0.74946,-1.95069
24.872,-5.41660,-0.55443,-1.96647
24.984,-5.60588,-0.28187,-1.74115
25.139,-5.59775,-0.32417,-1.65766
25.159,-5.64236,-0.20804,-1.47690
25.279,-5.70294,-0.10055,-1.33217
25.398,-5.70847,-0.03830,-1.31518
25.458,-5.79958,-0.16587,-1.33592
25.579,-5.91903,-0.32787,-1.36464
25.699,-5.97220,-0.23003,-1.40595
25.783,-6.05466,-0.15862,-1.44106
25.939,-6.18594,-0.17599,-1.48139
25.999,-6.16377,-0.27827,-1.47561
26.060,-6.06325,-0.31526,-1.44897
26.192,-5.87098,-0.29703,-1.39852
26.299,-5.89671,-0.07177,-1.40665
26.359,-5.91904,0.00497,-1.42353
26.479,-5.99771,-0.02584,-1.48981
26.600,-6.10244,0.05040,-1.53315
26.696,-6.12553,0.05443,-1.54078
26.814,-6.19006,0.08435,-1.55982
26.906,-6.23982,0.08571,-1.57237
26.976,-6.25745,0.06644,-1.57796
27.080,-6.19849,-0.06616,-1.55284
27.218,-6.30841,-0.05708,-1.58167
27.260,-6.34566,-0.07457,-1.59149
27.380,-6.42975,0.04763,-1.50788
27.501,-6.62442,0.40543,-1.34262
27.561,-6.58325,0.48185,-1.31252
27.688,-6.69731,0.59228,-1.33587
27.800,-6.68627,0.85475,-1.31263
27.863,-6.70891,0.92850,-1.30621
27.996,-6.57930,1.09578,-1.23955
28.125,-6.40479,1.28727,-1.41971
28.162,-6.34001,1.40654,-1.65156
28.281,-6.14220,1.49590,-2.03738
28.404,-5.90287,1.40798,-2.23996
28.468,-5.66226,1.35641,-2.29845
