time,X_value,Y_value,Z_value
1.685,0.81653,0.10100,-0.00894
1.685,0.82219,-0.16392,-0.93257
1.685,0.51533,0.33390,-0.09933
1.685,0.34363,0.23518,-0.69795
1.686,0.09351,1.08229,0.69304
1.689,-0.44977,0.85824,0.15981
1.700,-0.92486,0.45316,-1.22877
1.718,-1.22640,1.72989,0.03411
1.722,-1.55014,2.26296,1.72246
1.752,-1.59626,1.71975,0.89073
1.752,-1.59626,1.71975,0.89073
1.753,-0.57185,1.29143,0.37238
1.785,-0.47946,0.60897,-1.26377
1.785,-0.47946,0.60897,-1.26377
1.785,-0.80235,0.75338,-0.48073
1.788,-0.53920,0.33343,-0.12036
1.797,-0.57566,-0.15579,-0.03649
1.808,-0.42130,-0.72818,-0.74264
1.815,-0.02273,-0.68433,-0.67220
1.828,-0.36765,-1.08252,-1.42188
1.834,-0.42999,-0.79540,-0.07771
1.851,-0.70494,-0.45918,0.75080
1.860,-0.57658,-0.66789,-0.43884
1.888,-0.31869,-0.98378,-1.20809
1.888,-0.52237,-0.20063,0.89351
1.941,-0.85746,-0.10087,-0.42710
1.941,-0.85746,-0.10087,-0.42710
1.942,-0.36937,1.01210,-0.02011
1.942,-0.16751,1.28882,-0.28353
1.942,-0.16751,1.28882,-0.28353
1.943,0.33712,1.67556,1.36468
1.949,0.79475,1.28394,1.28005
1.956,-0.16624,1.20774,1.03153
1.967,-0.14899,1.17953,1.03165
1.975,-0.78428,0.47216,-0.62057
1.990,0.36284,0.37455,0.07838
1.992,0.73056,-0.15691,0.05470
2.019,0.50315,-1.07100,0.55732
2.020,0.14041,-0.13471,2.12252
2.065,-0.38933,-1.19945,-1.38993
2.067,-0.16685,-0.75873,-0.11164
2.067,-0.01355,-0.88073,-0.63140
2.067,-0.01355,-0.88073,-0.63140
2.067,0.18084,-0.15087,0.48911
2.085,0.71735,0.59579,0.76280
2.086,0.71735,0.59579,0.76280
2.093,0.29077,0.30604,-1.61695
2.110,0.73284,0.99188,0.07448
2.112,0.26961,-0.20294,-0.43299
2.131,-0.17061,0.24589,-0.17045
2.143,-1.10658,1.84656,2.11820
2.172,-1.09253,0.91832,-0.59328
2.172,-0.73912,0.20178,-1.23529
2.179,-0.73676,0.78783,0.35408
2.190,-0.27836,1.09296,0.96727
2.205,0.29966,0.25300,0.99177
2.212,0.45408,-1.60447,-3.07494
2.227,1.34106,0.07677,-0.06276
2.232,0.36427,0.51211,1.98676
2.252,-0.42382,-1.04493,-1.46263
2.261,-0.67054,-0.83763,-0.98960
2.284,-1.03186,-1.30624,-2.85554
2.284,-0.71145,0.76833,2.22029
2.321,-0.74826,-0.65804,0.07957
2.321,-0.74826,-0.65804,0.07957
2.321,1.76790,-0.57953,-0.83002
2.326,2.52185,0.60706,2.97891
2.326,2.52185,0.60706,2.97891
2.335,2.42939,-0.83705,-1.37261
2.356,-0.70304,-0.22944,0.04333
2.357,-2.45402,-0.58266,0.22041
2.372,-2.33758,-0.54834,0.21642
2.382,-1.38925,-0.87821,-0.94901
2.393,-0.17549,-0.09585,0.48246
2.398,0.80119,-0.79011,0.16155
2.431,0.65690,0.38133,1.02830
2.431,0.65690,0.38133,1.02830
2.431,0.15513,-0.32833,-1.69154
2.442,0.71133,0.09409,-1.63872
2.479,0.70263,1.04458,1.34517
2.479,0.66226,-0.45863,-1.39847
2.479,-0.92593,0.90695,1.10575
2.489,-1.21352,-0.62123,-2.30470
2.499,-0.47353,0.25498,1.13317
2.516,0.87615,0.20555,1.75583
2.522,-0.77917,0.34217,1.49224
2.542,-0.59533,-0.40505,0.27489
2.542,-0.59533,-0.40505,0.27489
2.548,-0.55557,-1.38940,-2.71338
2.587,-0.08164,-0.36592,-0.20894
2.587,-0.08164,-0.36592,-0.20894
2.588,2.32699,-0.88509,-1.30998
2.591,1.41605,-0.46152,-1.07810
2.591,1.41605,-0.46152,-1.07810
2.598,0.63983,1.09777,0.89975
2.621,0.33833,0.10175,0.88944
2.626,0.31371,-0.41391,1.47373
2.639,0.42378,-1.05212,0.15242
2.644,0.82885,-1.57636,-1.90627
2.663,0.11770,0.28696,2.44691
2.672,1.59041,-0.09227,-0.20997
2.700,2.13313,0.29973,1.55091
2.700,0.80518,-1.17978,-2.61923
2.745,0.15131,0.60477,0.98713
2.745,0.15131,0.60477,0.98713
2.745,0.08197,-0.10574,-1.85254
2.746,0.08831,-0.48882,-0.45337
2.746,0.08831,-0.48882,-0.45337
2.746,-0.01272,-0.48286,-1.05185
2.760,-0.13063,-1.06530,-1.64969
2.770,1.14495,-1.44903,-1.72026
2.784,1.67179,-0.26279,0.55814
2.792,1.36286,-0.32421,1.04405
2.812,-0.27902,-1.08862,-1.03446
